ORIGID,CountyName,Covid Density,PopulationCensus16,TimeStamp,IGEasting,IGNorthing,Lat,Long,UGI,ConfirmedCovidCases,PopulationProportionCovidCases,ConfirmedCovidDeaths,ConfirmedCovidRecovered,SHAPE_Length,SHAPE_Area
9,Kildare,Medium,222504,11/7/2020 0:00,281262,221513,53.238,-6.7837,http://data.geohive.ie/resource/county/2ae19629-1455-13a3-e055-000000000001,3852,1731.204832,,,422182.0368,4726063622
10,Kilkenny,Low,99232,11/7/2020 0:00,253094,148060,52.5816,-7.2175,http://data.geohive.ie/resource/county/2ae19629-1456-13a3-e055-000000000001,840,846.5011287,,,453397.5722,5585391835
11,Laois,Medium,84697,11/7/2020 0:00,244211,193996,52.9952,-7.3423,http://data.geohive.ie/resource/county/2ae19629-143e-13a3-e055-000000000001,899,1061.430747,,,398512.4622,4731211499
12,Leitrim,Low,32044,11/7/2020 0:00,200446,319670,54.1261,-7.9939,http://data.geohive.ie/resource/county/2ae19629-143f-13a3-e055-000000000001,237,739.6080389,,,453253.685,4618679673
13,Limerick,Medium,194899,11/7/2020 0:00,149743,141780,52.5255,-8.7412,http://data.geohive.ie/resource/county/2ae19629-1440-13a3-e055-000000000001,2238,1148.287062,,,673892.6905,7206726912
14,Longford,Medium,40873,11/7/2020 0:00,220162,275901,53.7325,-7.6952,http://data.geohive.ie/resource/county/2ae19629-1441-13a3-e055-000000000001,599,1465.515132,,,315245.1728,3097977869
15,Louth,Medium,128884,11/7/2020 0:00,299463,297349,53.9161,-6.487,http://data.geohive.ie/resource/county/2ae19629-1442-13a3-e055-000000000001,1764,1368.672605,,,352203.5172,2386326963
16,Mayo,Medium,130507,11/7/2020 0:00,117679,297355,53.9191,-9.2537,http://data.geohive.ie/resource/county/2ae19629-1443-13a3-e055-000000000001,1283,983.0890297,,,2101964.077,16036984139
17,Meath,Medium,195044,11/7/2020 0:00,284946,271349,53.6851,-6.715,http://data.geohive.ie/resource/county/2ae19629-1444-13a3-e055-000000000001,3112,1595.537417,,,554844.7505,6658570746
18,Monaghan,Medium,61386,11/7/2020 0:00,268914,326818,54.1857,-6.9452,http://data.geohive.ie/resource/county/2ae19629-1445-13a3-e055-000000000001,1156,1883.165543,,,392803.0473,3768943157
19,Offaly,Medium,77961,11/7/2020 0:00,222690,223679,53.2632,-7.6607,http://data.geohive.ie/resource/county/2ae19629-1446-13a3-e055-000000000001,1067,1368.633034,,,561440.3786,5558826350
20,Roscommon,Medium,64544,11/7/2020 0:00,182029,283486,53.8008,-8.2735,http://data.geohive.ie/resource/county/2ae19629-1447-13a3-e055-000000000001,819,1268.901834,,,622494.1546,7278743876
21,Sligo,Medium,65535,11/7/2020 0:00,165130,323355,54.1581,-8.5345,http://data.geohive.ie/resource/county/2ae19629-1449-13a3-e055-000000000001,683,1042.191196,,,682286.8703,5348370378
22,Tipperary,Low,159553,11/7/2020 0:00,205427,154345,52.6407,-7.9206,http://data.geohive.ie/resource/county/2ae19629-144a-13a3-e055-000000000001,1293,810.3890243,,,781276.5797,11551196729
23,Waterford,Low,116176,11/7/2020 0:00,234676,105809,52.2035,-7.4935,http://data.geohive.ie/resource/county/2ae19629-144b-13a3-e055-000000000001,812,698.93954,,,643184.904,4848379555
24,Westmeath,Medium,88770,11/7/2020 0:00,238362,255966,53.5524,-7.4219,http://data.geohive.ie/resource/county/2ae19629-144c-13a3-e055-000000000001,1460,1644.699786,,,422669.3327,5208705730
25,Wexford,Low,149722,11/7/2020 0:00,301627,141559,52.5164,-6.5037,http://data.geohive.ie/resource/county/2ae19629-144d-13a3-e055-000000000001,1132,756.0679125,,,589324.4767,6332221063
26,Wicklow,Low,142425,11/7/2020 0:00,311162,197894,53.0205,-6.3442,http://data.geohive.ie/resource/county/2ae19629-144e-13a3-e055-000000000001,1354,950.6757943,,,427539.1986,5580728579
1,Carlow,Medium,56932,11/8/2020 0:00,278661,163444,52.7168,-6.8367,http://data.geohive.ie/resource/county/2ae19629-143d-13a3-e055-000000000001,575,1009.976814,,,319348.5725,2432351721
2,Cavan,High,76176,11/8/2020 0:00,246380,304501,53.9878,-7.2937,http://data.geohive.ie/resource/county/2ae19629-1448-13a3-e055-000000000001,2096,2751.522789,,,515954.4965,5575009911
3,Clare,Medium,118817,11/8/2020 0:00,133493,182732,52.8917,-8.9889,http://data.geohive.ie/resource/county/2ae19629-1450-13a3-e055-000000000001,1379,1160.60833,,,1013948.95,8722541706
4,Cork,Medium,542868,11/8/2020 0:00,156242,77860,51.9517,-8.6372,http://data.geohive.ie/resource/county/2ae19629-1451-13a3-e055-000000000001,5832,1074.294304,,,2129949.409,19529490886
5,Donegal,Medium,159192,11/8/2020 0:00,202615,405691,54.8989,-7.96,http://data.geohive.ie/resource/county/2ae19629-1452-13a3-e055-000000000001,2422,1521.433238,,,2145085.774,14624041937
6,Dublin,Medium,1347359,11/8/2020 0:00,313762,235813,53.3605,-6.292,http://data.geohive.ie/resource/county/2ae19629-144f-13a3-e055-000000000001,24960,1852.512953,,,449433.5318,2612632655
7,Galway,Low,258058,11/8/2020 0:00,151045,235818,53.3705,-8.7362,http://data.geohive.ie/resource/county/2ae19629-1453-13a3-e055-000000000001,2432,942.4237962,,,1972288.286,17079158586
8,Kerry,Low,147707,11/8/2020 0:00,92975,102996,52.1689,-9.565,http://data.geohive.ie/resource/county/2ae19629-1454-13a3-e055-000000000001,1220,825.9595009,,,1753779.819,12483603408
9,Kildare,Medium,222504,11/8/2020 0:00,281262,221513,53.238,-6.7837,http://data.geohive.ie/resource/county/2ae19629-1455-13a3-e055-000000000001,3851,1730.755402,,,422182.0368,4726063622
10,Kilkenny,Low,99232,11/8/2020 0:00,253094,148060,52.5816,-7.2175,http://data.geohive.ie/resource/county/2ae19629-1456-13a3-e055-000000000001,848,854.5630442,,,453397.5722,5585391835
11,Laois,Medium,84697,11/8/2020 0:00,244211,193996,52.9952,-7.3423,http://data.geohive.ie/resource/county/2ae19629-143e-13a3-e055-000000000001,904,1067.334144,,,398512.4622,4731211499
12,Leitrim,Low,32044,11/8/2020 0:00,200446,319670,54.1261,-7.9939,http://data.geohive.ie/resource/county/2ae19629-143f-13a3-e055-000000000001,239,745.849457,,,453253.685,4618679673
13,Limerick,Medium,194899,11/8/2020 0:00,149743,141780,52.5255,-8.7412,http://data.geohive.ie/resource/county/2ae19629-1440-13a3-e055-000000000001,2270,1164.705822,,,673892.6905,7206726912
14,Longford,Medium,40873,11/8/2020 0:00,220162,275901,53.7325,-7.6952,http://data.geohive.ie/resource/county/2ae19629-1441-13a3-e055-000000000001,600,1467.961735,,,315245.1728,3097977869
15,Louth,Medium,128884,11/8/2020 0:00,299463,297349,53.9161,-6.487,http://data.geohive.ie/resource/county/2ae19629-1442-13a3-e055-000000000001,1771,1374.103845,,,352203.5172,2386326963
16,Mayo,Medium,130507,11/8/2020 0:00,117679,297355,53.9191,-9.2537,http://data.geohive.ie/resource/county/2ae19629-1443-13a3-e055-000000000001,1288,986.9202418,,,2101964.077,16036984139
17,Meath,Medium,195044,11/8/2020 0:00,284946,271349,53.6851,-6.715,http://data.geohive.ie/resource/county/2ae19629-1444-13a3-e055-000000000001,3119,1599.126351,,,554844.7505,6658570746
18,Monaghan,Medium,61386,11/8/2020 0:00,268914,326818,54.1857,-6.9452,http://data.geohive.ie/resource/county/2ae19629-1445-13a3-e055-000000000001,1158,1886.423615,,,392803.0473,3768943157
19,Offaly,Medium,77961,11/8/2020 0:00,222690,223679,53.2632,-7.6607,http://data.geohive.ie/resource/county/2ae19629-1446-13a3-e055-000000000001,1070,1372.481112,,,561440.3786,5558826350
20,Roscommon,Medium,64544,11/8/2020 0:00,182029,283486,53.8008,-8.2735,http://data.geohive.ie/resource/county/2ae19629-1447-13a3-e055-000000000001,827,1281.29648,,,622494.1546,7278743876
21,Sligo,Medium,65535,11/8/2020 0:00,165130,323355,54.1581,-8.5345,http://data.geohive.ie/resource/county/2ae19629-1449-13a3-e055-000000000001,686,1046.768902,,,682286.8703,5348370378
22,Tipperary,Low,159553,11/8/2020 0:00,205427,154345,52.6407,-7.9206,http://data.geohive.ie/resource/county/2ae19629-144a-13a3-e055-000000000001,1302,816.0297832,,,781276.5797,11551196729
23,Waterford,Low,116176,11/8/2020 0:00,234676,105809,52.2035,-7.4935,http://data.geohive.ie/resource/county/2ae19629-144b-13a3-e055-000000000001,816,702.3825919,,,643184.904,4848379555
24,Westmeath,Medium,88770,11/8/2020 0:00,238362,255966,53.5524,-7.4219,http://data.geohive.ie/resource/county/2ae19629-144c-13a3-e055-000000000001,1464,1649.205813,,,422669.3327,5208705730
25,Wexford,Low,149722,11/8/2020 0:00,301627,141559,52.5164,-6.5037,http://data.geohive.ie/resource/county/2ae19629-144d-13a3-e055-000000000001,1135,758.0716261,,,589324.4767,6332221063
26,Wicklow,Low,142425,11/8/2020 0:00,311162,197894,53.0205,-6.3442,http://data.geohive.ie/resource/county/2ae19629-144e-13a3-e055-000000000001,1355,951.3779182,,,427539.1986,5580728579
1,Carlow,Medium,56932,11/9/2020 0:00,278661,163444,52.7168,-6.8367,http://data.geohive.ie/resource/county/2ae19629-143d-13a3-e055-000000000001,578,1015.246259,,,319348.5725,2432351721
2,Cavan,High,76176,11/9/2020 0:00,246380,304501,53.9878,-7.2937,http://data.geohive.ie/resource/county/2ae19629-1448-13a3-e055-000000000001,2103,2760.712035,,,515954.4965,5575009911
3,Clare,Medium,118817,11/9/2020 0:00,133493,182732,52.8917,-8.9889,http://data.geohive.ie/resource/county/2ae19629-1450-13a3-e055-000000000001,1386,1166.499743,,,1013948.95,8722541706
4,Cork,Medium,542868,11/9/2020 0:00,156242,77860,51.9517,-8.6372,http://data.geohive.ie/resource/county/2ae19629-1451-13a3-e055-000000000001,5840,1075.767958,,,2129949.409,19529490886
5,Donegal,Medium,159192,11/9/2020 0:00,202615,405691,54.8989,-7.96,http://data.geohive.ie/resource/county/2ae19629-1452-13a3-e055-000000000001,2443,1534.624856,,,2145085.774,14624041937
6,Dublin,Medium,1347359,11/9/2020 0:00,313762,235813,53.3605,-6.292,http://data.geohive.ie/resource/county/2ae19629-144f-13a3-e055-000000000001,25042,1858.598933,,,449433.5318,2612632655
7,Galway,Low,258058,11/9/2020 0:00,151045,235818,53.3705,-8.7362,http://data.geohive.ie/resource/county/2ae19629-1453-13a3-e055-000000000001,2434,943.1988158,,,1972288.286,17079158586
8,Kerry,Low,147707,11/9/2020 0:00,92975,102996,52.1689,-9.565,http://data.geohive.ie/resource/county/2ae19629-1454-13a3-e055-000000000001,1221,826.6365169,,,1753779.819,12483603408
9,Kildare,Medium,222504,11/9/2020 0:00,281262,221513,53.238,-6.7837,http://data.geohive.ie/resource/county/2ae19629-1455-13a3-e055-000000000001,3865,1737.047424,,,422182.0368,4726063622
10,Kilkenny,Low,99232,11/9/2020 0:00,253094,148060,52.5816,-7.2175,http://data.geohive.ie/resource/county/2ae19629-1456-13a3-e055-000000000001,855,861.6172203,,,453397.5722,5585391835
11,Laois,Medium,84697,11/9/2020 0:00,244211,193996,52.9952,-7.3423,http://data.geohive.ie/resource/county/2ae19629-143e-13a3-e055-000000000001,911,1075.5989,,,398512.4622,4731211499
12,Leitrim,Low,32044,11/9/2020 0:00,200446,319670,54.1261,-7.9939,http://data.geohive.ie/resource/county/2ae19629-143f-13a3-e055-000000000001,239,745.849457,,,453253.685,4618679673
